Test ID,Test Date,Tester Name,Type of Question,Build / Version,Sprint / Cycle,Channel Tested,Language Tested,Question ID,Query Text (Original),Question Category,Time Question Asked (HH:MM:SS),Time Answer Received (HH:MM:SS),Respo nse Time (mins) [Auto],SLA Status,Question in Review Model?,Question Correctly Framed?,Original Language,Translated Language,Translation Quality,Translation Error Type,Tagging,Allocated to Reviewer?,Author's Name,Author Assignment Time,Author Completion Time,Author TAT (mins) [Auto],Reviewer1 Name,Reviewer1 Assignment Time,Reviewer1 Completion Time,Review1 TAT (mins) [Auto],Reviewer2 Name,Reviewer2 Assignment Time,Reviewer2 Completion Time,Review2 TAT (mins) [Auto],Reviewer3 Name,Reviewer3 Assignment Time,Reviewer3 Completion Time,Review3 TAT (mins) [Auto],Reviewer4 Name,Reviewer4 Assignment Time,Reviewer4 Completion Time,Review4 TAT (mins) [Auto],Reviewer5 Name,Reviewer5 Assignment Time,Reviewer5 Completion Time,Review5 TAT (mins) [Auto],Moderator's Name,Moderator Assignment Time,ModeratorCompletion Time,Moderator TAT (mins) [Auto],Follow-up Q in Review Model?,Answer Scientifically Correct?,Expert Name Displayed?,Correct Expert Name?,Source Links Provided?,120-min Msg Shown to User?,Notification Received?,Notification on Same Thread?,Notification Linked Correct Q-ID?,Voice Input Working?,Voice Output Working?,Voice Input Quality,Voice Output Quality,Voice Issue Description,Weather Q Answered Correctly?,Mandi Price Q Correct?,Scheme Q Correct?,Question Saved in DB?,Answer Saved in DB?,Q-ID Consistent Across Systems?,WhatsApp vs Web Answer Match?,Overall Test Status,Defect Severity,"Defect ID / Bug Ref
Zoho Desk Ticketing",Reviewer Remarks,Tester Remarks,Status,,,
TL-1028,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16ab9e-2a64-6e35-8028-9d004f5e4940,"What are the key characteristics, advantages, and cultivation requirements of the GBG-45 variety of Black Gram in Andhra Pradesh?",Seed and Variety Selection,"Jun 18, 2026, 7:33 AM","18/6/2026, 7:33:22 am",#VALUE!,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1029,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f1695ca-c328-6d1d-8005-74e03fbb35cf,What is the appropriate dosage and method of application for Nano DAP in Black Gram cultivation in Andhra Pradesh?,Soil Health and Nutrient Management,13:53:00,"17/6/2026, 7:31:39 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Suresh Bhardwaj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,.2 hours disclaimer is seen. Answer received after 29 hours,Expected Output,,,
TL-1030,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16abb5-2db5-697c-802f-a6433470679a,What is the appropriate dosage and method of application for Nano DAP in Black Gram cultivation in Andhra Pradesh?,Soil Health and Nutrient Management,"Jun 18, 2026, 7:43 AM","18/6/2026, 7:43:40 am",#VALUE!,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1031,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f1695d4-9429-63a2-8005-bf6f08e77319,What is the appropriate dosage and method for applying urea spray in Black Gram crops in Andhra Pradesh?,Soil Health and Nutrient Management,13:58:00,"17/6/2026, 7:32:39 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Soumya R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,.2 hours disclaimer is seen. Answer received after 29 hours,Expected Output,,,
TL-1032,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16abd1-08ad-63ed-8037-3e610509d297,What is the appropriate dosage and method for applying urea spray in Black Gram crops in Andhra Pradesh?,Soil Health and Nutrient Management,": Jun 18, 2026, 07:56 AM","18/6/2026, 7:56:08 am",#VALUE!,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1033,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f1695e1-9b57-6edc-8005-6b8eea4f68e3,"Why are the leaves of my black gram crop turning red, and how can I manage this condition in Andhra Pradesh?",Plant protection,14:03:00,"17/6/2026, 7:04:27 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Sharmila S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,.2 hours disclaimer is seen. Answer received after 29 hours,Expected Output,,,
TL-1034,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16abef-31ca-63cd-803f-ca3ad8b4716c,"Why are the leaves of my black gram crop turning red, and how can I manage this condition in Andhra Pradesh?",Plant protection,"Jun 18, 2026, 8:09 AM","18/6/2026, 8:09:38 am",#VALUE!,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1073,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,Web App,English,1f169608-8dd1-64ba-8005-55f3015344c9,What are the causes and management strategies for yellowing leaves (Itangi Roga) in Black Gram in Karnataka?,Plant protection,14:21:00,14:21:15,0.3,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,NA,NA,NA,Yes,No,Clear,No Output,"Output audio unavailable, the system shows error processing the aduio request failed status code 500",NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,Info,,NIL,Output audio not working,Expected Output,,,
TL-1074,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,WhatsApp,English,1f16960e-edf0-6967-804e-a85678984954,What are the causes and management strategies for yellowing leaves (Itangi Roga) in Black Gram in Karnataka?,Plant protection,14:24:00,14:24:07,0.1,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1075,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,Web App,English,1f169629-f81e-60e4-8005-7de4cfddc153,What are the best practices and technical methods for the post-harvest preservation of Black Gram to ensure long-term storage quality in Karnataka?,Post-Harvest Management and Storage,14:36:00,14:36:12,0.2,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,NA,NA,NA,Yes,No,Clear,No Output,"Output audio unavailable, the system shows error processing the aduio request failed status code 500",NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1076,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,WhatsApp,English,1f16962d-6422-61a1-8055-d300660a3b33,What are the best practices and technical methods for the post-harvest preservation of Black Gram to ensure long-term storage quality in Karnataka?,Post-Harvest Management and Storage,14:37:00,14:37:44,0.7,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1079,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,Web App,English,1f169652-81ea-6323-8005-d3c39fcd97f8,What are the appropriate herbicide options for controlling weeds in Finger Millet (Ragi) within three days of emergence in Karnataka?,Weed Management,14:54:00,14:54:21,0.4,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,No,Clear,No Output,"Output audio unavailable, the system shows error processing the aduio request failed status code 500",NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1080,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,WhatsApp,English,1f169657-0037-6119-8066-9c73fb59639c,What are the appropriate herbicide options for controlling weeds in Finger Millet (Ragi) within three days of emergence in Karnataka?,Weed Management,14:56:00,14:56:21,0.4,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1081,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,Web App,English,1f169669-a29d-6e7b-8005-e2359effb082,What is the recommended dosage and application method for Zinc and Boron in Finger Millet (Ragi) cultivation per acre in Karnataka?,Soil Health and Nutrient Management,15:04:00,15:04:41,0.7,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,No,Clear,No Output,"Output audio unavailable, the system shows error processing the aduio request failed status code 500",NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1082,2026-06-16,Lavanya Mathialagan,GDP,0.1,NIL,WhatsApp,English,1f16966a-d00d-6064-806d-64066b15acfd,What is the recommended dosage and application method for Zinc and Boron in Finger Millet (Ragi) cultivation per acre in Karnataka?,Soil Health and Nutrient Management,15:05:00,15:05:13,0.2,Within SLA,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1179,2026-06-17,Lavanya Mathialagan,Unique,0.1,NIL,WhatsApp,English,1f16ab1e-a7de-667b-8005-4c16384a553c,What are the most effective methods and management practices for weed control in tomato cultivation in Andhra pradesh?,Weed Management,06:36:00,"
19/6/2026, 3:26:43 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct, NIL,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Received on Time,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,No,Pass,No Defect,,NIL,,Expected Output,,,
TL-1182,2026-06-17,Lavanya Mathialagan,Unique,0.1,NIL,Web App,English,1f16a0d2-2a7a-673f-8005-42636c6505e9,What are the most effective management strategies for controlling caterpillar pests that consume tomato leaves in Andhra Pradesh?,Plant protection,10:56:00,"Jun 19, 2026, 6:52 AM",66516236.0,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,Successfully Identified as Duplicate,Successfully Identified as Duplicate,Yes,Yes,Clear,Clear,Takes huge time to get processed ,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,2 hours disclaimer is seen. On regenerating the same 2 hours disclaimer is shown again. Answer received right after 43 hours,Expected Output,,,
TL-1183,2026-06-17,Lavanya Mathialagan,Unique,0.1,NIL,WhatsApp,English,1f16b7d9-a307-6fe9-8005-3853fb057a95,What are the most effective management strategies for controlling caterpillar pests that consume tomato leaves in Andhra Pradesh?,Plant protection,"Jun 19, 2026, 6:54 AM","19/6/2026, 6:54:22 am",#VALUE!,Within SLA,Yes,Well Framed,English,English,Correct,NIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,NA,NA,Successfully Identified as Duplicate,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,Good to go,Expected Output,,,
TL-1184,2026-06-17,Lavanya Mathialagan,Unique,0.1,NIL,Web App,English,1f16a0db-9b7e-62ba-8005-408b29f448e4,"What are the causes, symptoms, and management strategies for wilt disease in tomato crops in Andhra Pradesh?",Plant protection,11:01:00,"19/6/2026, 10:52:33 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Sippora Nandam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,2 hours disclaimer is seen. On regenerating the same 2 hours disclaimer is shown again . Received answer after 2 days',Expected Output,,,
